12, reversed-half-hitch
1225, reversed-half-hitches cow-hitch two-half-hitches clove-hitch two-half-hitches
1226, reversed-stopper multi-strand-stopper lanyard button shroud french-shroud
2092, rigger's-lashing-eye
1784, rigger's-shot-splice
342, right-angled-triangular-pectroal
1142, right-hand-bowline reversed-half-hitches
613, right-hand-diamond
2204, right-hand-sheet-bend
3307 659 762 1828 1736, ring-hitch
692, ring-hitch strap-hitch
373, ring-hitch cow-hitch
284, ring-hitch bale-sling-hitch
309, ring-hitch-and-tag bale-sling-hitch
738, ring-hitches
739, ring water gut single-overhand
740 1788, ring-stopper
1795, roband-hitch
3499, roband-hitch halyard-bend clove-hitch single-hitch
2051, roband-hitches
1503, robands
568, rohand-hitches
1076 1077, rolling-hitch magnus-hitch magner's-hitch
566 1086 1508 1743 2414 3043 2080, rolling-hitch
2254, rolling-hitch magnus-hitch magner's-hitch two-round-turns-and-two-half-hitches
408, rolling-hitch magnus-and-magner's-hitch
188, rolling-hitch midshipman's-hitch
1072, rolling-hitch half-hitch
787, rolling-hitch single-hitch
1449, rolling-hitches adjustable-bend
240, rope-yarn reef half
1985, rope-yarn-bend
1152 417 18 66, rose
17, rosebud
4, rosette
546 3510, round-flat
594, round-sinnet sheet-bend overhand
765 2293 1133 1138 780 3305, round-sinnet
490, round-sinnet multi-strand foundation coachwhipping french-sinnet
1690, round-sinnet hexagonal-sinnet
1170, round-sinnet-turk's-head turk's-head-of-french-sinnet chain-sinnet flat-sinnet solid-sinnet long-splicing
1473 3070, round-turn
1319, round-turn-and-buntline-hitch two-half-hitches reversed-hitches
1322, round-turn-and-elbow
2289, round-turn-and-half-hitch clove-hitch
680, round-turn-and-half-hitch
564, round-turn-and-reversed-hitches round-turn-and-two-half-hitches
992, round-turn-and-slipped-half-hitch stake-hitch
924 995 1937 2295, round-turn-and-two-half-hitches
1482, round-turn-and-two-half-hitches anchor-bend
2177, round-turn-and-two-half-hitches rolling-hitch
172, round-turn-and-two-half-hitches hook-hitch
1847, round-wyw
1852, rubber-bend
593, running-bowline noose
3494, running-bowline crossing half-hitch overhand
413, running-bowline half-hitch overhand
1445, running-bowline running-bowling
1271, running-eye eye-splice loop
3098 1844, sack
1055, saddlecloth-shaped
1465, safety-belt-hitch magnus-hitch rolling-hitch steeplejack's
31, sailor's-knife-lanyard marlingspike-lanyard single-strand-diamond two-strand-diamond bosun's-whistle
409, sallie-tucks tuckings sallies
1244, sallies sally-tufts sallie-tuftings
125, salmon
453, sampan-hitch
820, sash-cord-hitch single-hitch half-hitch overhand
2242, sash-weight
1215, scaffold
1220, scotchmen
1221, scout-coil hangman's
